"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"52","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"53","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.7%"
"54","Ka'imi Fairbairn (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3%"
"55","Taylor Bertolet (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"56","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"57","Wil Lutz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.9%"
"58","Aldrick Rosas (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"59","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Chase McLaughlin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"61","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.1%"
"63","Elliott Fry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"65","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.8%"
"67","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9%"
"70","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"72","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"76","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.5%"
"77","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Jordan Gay (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"89","Brett Maher (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Chris Boswell (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.8%"
"92","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"93","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.3%"
"94","Dustin Hopkins (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"95","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"100","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
