"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"32","Connor Barth (FA)","11","16","68.8","54","1","4","0","5","1","17","17","10","57.0","5.7","0.0%"
"33","Mike Nugent (ARI)","11","13","84.6","55","0","3","3","4","1","15","17","8","54.0","6.8","1.0%"
"34","Jason Myers (SEA)","11","15","73.3","47","0","4","2","5","0","15","17","6","53.0","8.8","62.5%"
"35","Nick Novak (FA)","9","13","69.2","50","0","4","4","0","1","17","18","7","46.0","6.6","0.1%"
"36","Nick Folk (NE)","6","11","54.5","50","0","2","1","2","1","7","9","4","29.0","7.3","2.9%"
"37","Travis Coons (FA)","7","8","87.5","40","0","4","2","1","0","5","6","3","27.0","9.0","1.1%"
"38","Cairo Santos (CHI)","4","5","80.0","39","0","0","4","0","0","14","14","5","26.0","5.2","1.0%"
"39","Younghoe Koo (ATL)","3","6","50.0","41","0","2","0","1","0","9","9","4","19.0","4.8","90.6%"
"40","Caleb Sturgis (FA)","3","3","100.0","50","0","0","1","1","1","1","2","1","13.0","13.0","0.0%"
"41","Sam Ficken (NYJ)","2","3","66.7","23","0","2","0","0","0","4","5","2","10.0","5.0","0.1%"
"42","Marshall Koehn (FA)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.0%"
"43","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.0%"
"44","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.0%"
"45","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"46","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"47","Greg Joseph (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1%"
"49","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"51","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"52","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Taylor Bertolet (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"54","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3%"
"56","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Elliott Fry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"58","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"59","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.8%"
"61","Chase McLaughlin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"62","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"65","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.1%"
"66","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9%"
"67","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"69","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","33.3%"
"73","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Brett Maher (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"88","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
